Your age,Gender,Frequency of using ride sharing,Waiting time for a ride,"Distance travelled

", Driver's rating,Cleanliness of vehicle, Ease of booking ,Cost of Ride ,Time of day,"Ride-Sharing Service Rating:
"
23,Female,Rarely,5-10 minutes,2-7 km,3,Often,Easy,Affordable,Afternoon,4
21,Female,Weekly,11-20 minutes,more than 30 km,3,Often,Neutral,Neutral,Morning,3
22,Male,Occasionally,11-20 minutes,7-15 km,3,Sometimes,Easy,Neutral,Evening,3
24,Male,Occasionally,11-20 minutes,21-30 km,4,Always,Neutral,Neutral,Night,4
21,Male,Rarely,11-20 minutes,2-7 km,4,Often,Easy,Affordable,Morning,4
20,Male,Monthly,11-20 minutes,7-15 km,4,Often,Easy,Expensive,Morning,3
19,Male,Occasionally,5-10 minutes,7-15 km,5,Often,Easy,Affordable,Morning,4
21,Female,Occasionally,5-10 minutes,15-21 km,3,Always,Easy,Expensive,Afternoon,3
28,Male,Occasionally,5-10 minutes,7-15 km,4,Often,Neutral,Neutral,Evening,4
20,Female,Rarely,5-10 minutes,7-15 km,3,Often,Easy,Expensive,Afternoon,3
21,Female,Occasionally,11-20 minutes,15-21 km,4,Always,Easy,Neutral,Afternoon,4
21,Female,Occasionally,5-10 minutes,15-21 km,4,Always,Easy,Affordable,Evening,4
21,Female,Occasionally,5-10 minutes,7-15 km,4,Always,Very easy,Neutral,Afternoon,3
21,Male,Rarely,11-20 minutes,7-15 km,4,Often,Very easy,Affordable,Afternoon,4
31,Female,Rarely,5-10 minutes,7-15 km,5,Always,Very easy,Affordable,Evening,5
21,Female,Monthly,11-20 minutes,7-15 km,4,Often,Easy,Neutral,Afternoon,4
21,Male,Monthly,5-10 minutes,15-21 km,4,Often,Easy,Neutral,Afternoon,4
18,Male,Occasionally,5-10 minutes,7-15 km,4,Often,Easy,Affordable,Evening,4
20,Female,Rarely,Less than 5 minutes,15-21 km,3,Sometimes,Easy,Neutral,Afternoon,3
21,Female,Occasionally,11-20 minutes,7-15 km,4,Often,Very easy,Neutral,Afternoon,4
21,Male,Occasionally,11-20 minutes,2-7 km,4,Sometimes,Easy,Neutral,Afternoon,4
24,Female,Occasionally,5-10 minutes,7-15 km,4,Always,Easy,Affordable,Afternoon,4
21,Female,Rarely,5-10 minutes,2-7 km,4,Often,Neutral,Neutral,Evening,3
32,Female,Occasionally,11-20 minutes,15-21 km,4,Always,Very easy,Neutral,Evening,4
30,Female,Occasionally,5-10 minutes,21-30 km,4,Sometimes,Easy,Affordable,Afternoon,5
28,Male,Occasionally,11-20 minutes,21-30 km,4,Always,Easy,Affordable,Afternoon,4
60,Male,Rarely,21-30 minutes,7-15 km,4,Rarely,Easy,Expensive,Evening,4
21,Female,Monthly,5-10 minutes,15-21 km,5,Always,Very easy,Affordable,Afternoon,4
30,Female,Occasionally,5-10 minutes,7-15 km,4,Sometimes,Neutral,Affordable,Afternoon,4
